factor,n,target_index,horizon_days,ic_spearman,ic_pearson,auc_hit_up,p_up_top20,p_up_bottom20,delta_p_up,p_up_all
f07,969,k200_close,10,0.07495696309248001,0.0464479201290544,0.5680318868397617,0.6683673469387755,0.49743589743589745,0.17093144950287809,0.5603715170278638
f01,969,k200_close,10,0.054437438264707795,0.09759444600357899,0.5069493078791966,0.5567010309278351,0.5532994923857868,0.003401538542048277,0.5603715170278638
f04,969,k200_close,10,0.04730496555427074,0.0594284178987166,0.5206058326632601,0.6326530612244898,0.5326633165829145,0.09998974464157528,0.5603715170278638
f08,969,k200_close,10,0.042577940468013296,0.05418862488965663,0.5375759776584615,0.6082474226804123,0.5228426395939086,0.08540478308650368,0.5603715170278638
f10,969,k200_close,10,0.03521604049722883,0.08167661786847964,0.5124374238061888,0.5743589743589743,0.5773195876288659,-0.00296061326989161,0.5603715170278638
f02,969,k200_close,10,-0.001384900733465549,0.002151916589619472,0.5081640858039582,0.5618556701030928,0.5561224489795918,0.005733221123500942,0.5603715170278638
f03,969,k200_close,10,-0.023647205693169023,0.014325426277962764,0.4726847889053165,0.5257731958762887,0.5927835051546392,-0.0670103092783505,0.5603715170278638
f05,969,k200_close,10,-0.11014466046923473,-0.15126840856620588,0.4544955429322405,0.5,0.5255102040816326,-0.025510204081632626,0.5603715170278638
f06,969,k200_close,10,-0.1526098981759565,-0.13303464875756282,0.4269339178101142,0.49489795918367346,0.6192893401015228,-0.12439138091784935,0.5603715170278638
f09,969,k200_close,10,-0.18288581538751847,-0.1703696461787691,0.40889597869599426,0.44329896907216493,0.6377551020408163,-0.19445613296865139,0.5603715170278638
